Product_Page,Product_Handle,Product_Title_HE,Product_ID,Product_Available,Price_Max,Price_Min,Published_At,Tags,Variant_Title,Variant_Available,Variant_Qty,Variant_Price,Variant_Currency,Published_Date,Published_Time,Tags_List
https://agilite.co.il/products/padded-laptop-sleeve,padded-laptop-sleeve,'שרוול לפטופ מרופד 14.5 אינץ,8018937512221,True,159.9,159.9,2022-11-27 13:42:00+02:00,"Combat Gear, everything, Plate Carriers \u0026 Packs, SaleIL",מולטיקם,True,0,159.9,ILS,2022-11-27,13:42:00,"['Combat Gear', 'everything', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/padded-laptop-sleeve,padded-laptop-sleeve,'שרוול לפטופ מרופד 14.5 אינץ,8018937512221,True,159.9,159.9,2022-11-27 13:42:00+02:00,"Combat Gear, everything, Plate Carriers \u0026 Packs, SaleIL",ירוק ריינג'ר,True,24,159.9,ILS,2022-11-27,13:42:00,"['Combat Gear', 'everything', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/padded-laptop-sleeve,padded-laptop-sleeve,'שרוול לפטופ מרופד 14.5 אינץ,8018937512221,True,159.9,159.9,2022-11-27 13:42:00+02:00,"Combat Gear, everything, Plate Carriers \u0026 Packs, SaleIL",שחור,False,0,159.9,ILS,2022-11-27,13:42:00,"['Combat Gear', 'everything', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/14-5-padded-laptop-sleeve-up,14-5-padded-laptop-sleeve-up,'שרוול לפטופ מרופד 14.5 אינץ ,8018937577757,True,119.9,119.9,2022-11-27 13:42:06+02:00,SaleIL,מולטיקם,True,0,119.9,ILS,2022-11-27,13:42:06,['SaleIL']
https://agilite.co.il/products/14-5-padded-laptop-sleeve-up,14-5-padded-laptop-sleeve-up,'שרוול לפטופ מרופד 14.5 אינץ ,8018937577757,True,119.9,119.9,2022-11-27 13:42:06+02:00,SaleIL,ירוק ריינג'ר,True,24,119.9,ILS,2022-11-27,13:42:06,['SaleIL']
https://agilite.co.il/products/14-5-padded-laptop-sleeve-up,14-5-padded-laptop-sleeve-up,'שרוול לפטופ מרופד 14.5 אינץ ,8018937577757,True,119.9,119.9,2022-11-27 13:42:06+02:00,SaleIL,שחור,False,0,119.9,ILS,2022-11-27,13:42:06,['SaleIL']
https://agilite.co.il/products/quick-release-cummerbund-buckle,quick-release-cummerbund-buckle,2M ROC - מערכת ניתוק מהיר,8192262799645,True,49.9,49.9,2023-03-14 11:38:36+02:00,SaleIL,שחור,True,390,49.9,ILS,2023-03-14,11:38:36,['SaleIL']
https://agilite.co.il/products/quick-release-cummerbund-buckle,quick-release-cummerbund-buckle,2M ROC - מערכת ניתוק מהיר,8192262799645,True,49.9,49.9,2023-03-14 11:38:36+02:00,SaleIL,חום,False,0,49.9,ILS,2023-03-14,11:38:36,['SaleIL']
https://agilite.co.il/products/ag1-5-56-single-mag-pouch,ag1-5-56-single-mag-pouch,AG1™ - פונדת מחסנית מודולרית,8018936529181,True,119.0,106.0,2022-11-27 13:40:29+02:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",ירוק ריינג'ר,True,91,106.0,ILS,2022-11-27,13:40:29,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/ag1-5-56-single-mag-pouch,ag1-5-56-single-mag-pouch,AG1™ - פונדת מחסנית מודולרית,8018936529181,True,119.0,106.0,2022-11-27 13:40:29+02:00,"Combat Gear, Plate Carriers \u0026 Packs, SaleIL",מולטיקם,False,0,106.0,ILS,2022-11-27,13:40:29,"['Combat Gear', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
